year, index
1450, 5.8981739702445
1451, 6.15699709053138
1452, 6.19524899410883
1453, 5.94588245916928
1454, 6.5643461409033
1455, 10.5919147682274
1456, 8.06990913373011
1457, 7.04483263547011
1458, 6.93510738671941
1459, 7.05631730684994
1460, 6.84983939662769
1461, 6.34694181701584
1462, 6.08293196336397
1463, 5.34015007559521
1464, 5.63285450572472
1465, 6.42866314013924
1466, 5.87776819751469
1467, 6.47866848628601
1468, 7.57906371106586
1469, 6.71184731526219
1470, 6.89483944724828
1471, 5.78095321315387
1472, 6.16240874707158
1473, 6.88488087953
1474, 7.5996114352434
1475, 6.91214299114928
1476, 6.66150085703092
1477, 7.65161457980662
1478, 8.72942550525299
1479, 8.05925973618439
1480, 8.68625113404496
1481, 14.4119766671202
1482, 13.6318748701435
1483, 10.1079611241496
1484, 8.8311580815756
1485, 9.17171620280009
1486, 11.1431047545213
1487, 10.6173680960567
1488, 12.5412827475936
1489, 13.4326308979173
1490, 9.74912210951134
1491, 9.73588507864437
1492, 9.28172002617085
1493, 9.14392616055249
1494, 7.48379297526057
1495, 7.00181474798885
1496, 6.87253425726047
1497, 7.8821842471794
1498, 8.65188657231856
1499, 6.95272584772347
1500, 7.60576274910776
1501, 8.79069795525487
1502, 8.6428779411205
1503, 8.47112671171464
1504, 9.11428569179143
1505, 8.87874870907539
1506, 8.41418470840318
1507, 8.01710249867042
1508, 8.52643997973033
1509, 8.2022734051229
1510, 8.39205583425866
1511, 8.77072136188912
1512, 9.2699655200861
1513, 9.7124329867301
1514, 11.7938995943546
1515, 10.9145180988654
1516, 9.32424235070753
1517, 10.121900711223
1518, 8.9698740067445
1519, 8.51346703696925
1520, 10.9668342094255
1521, 13.8796430909613
1522, 13.6007226139101
1523, 12.2234649500517
1524, 13.4421624316476
1525, 10.6048697018235
1526, 10.3453772967363
1527, 12.0795924859491
1528, 13.1834825493616
1529, 12.608191924386
1530, 13.0320836683493
1531, 13.9432925395839
1532, 11.1502124927746
1533, 11.2959964587673
1534, 10.5135377940479
1535, 13.4248193123328
1536, 11.6964212470222
1537, 9.52673819987735
1538, 10.6664862581433
1539, 12.2163601639011
1540, 11.3106589250991
1541, 10.1040378405974
1542, 11.6177593205187
1543, 11.6236772638141
1544, 16.1735146668598
1545, 17.0320267974951
1546, 14.6087358190931
1547, 11.6673665583298
1548, 11.6884638521521
1549, 11.9073415326336
1550, 14.4689535395453
1551, 15.3583598223968
1552, 15.7707794892535
1553, 14.7459877367484
1554, 15.3840565409627
1555, 17.5363491715409
1556, 20.0847704547282
1557, 18.4522773680164
1558, 14.25041941904
1559, 17.9619421878065
1560, 16.5030133653401
1561, 16.8587806771844
1562, 17.9959359258272
1563, 18.3818732569839
1564, 17.9284763963769
1565, 24.7864110489021
1566, 19.8521150881414
1567, 21.5981927783805
1568, 20.4652351984696
1569, 19.4226857429748
1570, 21.7020910963991
1571, 21.7779111569124
1572, 28.4814737932128
1573, 34.640492179662
1574, 34.8215758171159
1575, 28.3613240944812
1576, 24.698448855939
1577, 28.8276202990543
1578, 30.2506777804906
1579, 29.2036853972602
1580, 32.2250268093868
1581, 31.0981269348562
1582, 28.7599437723094
1583, 27.3730299703501
1584, 27.0026112212688
1585, 26.2787006550671
1586, 27.4047305994761
1587, 33.8334263128539
1588, 33.0676914806706
1589, 31.3600792403281
1590, 33.0464678213853
1591, 33.7708169866537
1592, 28.7248084207565
1593, 30.3438494080551
1594, 34.920966290348
1595, 41.4306439507074
1596, 42.8070318347025
1597, 46.7935444105882
1598, 46.8759969276267
1599, 46.9535445675879
1600, 44.5198173766463
1601, 41.5674046590355
1602, 40.2353240180673
1603, 43.0613616179158
1604, 41.8514889729518
1605, 39.7063330773035
1606, 37.4775921791763
1607, 38.8546991454445
1608, 45.21479230274
1609, 45.5918455501813
1610, 43.1186330018331
1611, 43.6170369967947
1612, 45.1046314007026
1613, 45.3583795082481
1614, 43.0194692494502
1615, 41.7481379222399
1616, 44.3904364139637
1617, 46.4670634071762
1618, 44.0720474571831
1619, 42.1132132218344
1620, 42.3590843722951
1621, 41.358051289352
1622, 49.6061624638842
1623, 53.4278811571852
1624, 54.8850477564673
1625, 54.3778122536262
1626, 51.1088587179354
1627, 52.1209713943255
1628, 55.7885430524318
1629, 62.2425191765592
1630, 69.0710100472935
1631, 68.8288325266549
1632, 57.0044716852037
1633, 54.5435313447009
1634, 57.984777910707
1635, 53.5852324732542
1636, 53.2075118435935
1637, 58.1994641926466
1638, 58.7401691504032
1639, 56.7329210214151
1640, 59.6873880613526
1641, 57.5284744487003
1642, 55.5077372481676
1643, 58.6075916546695
1644, 60.7516554376311
1645, 57.2108939401659
1646, 55.0251032519582
1647, 57.0951508718218
1648, 65.015168121449
1649, 68.4515402095849
1650, 72.5179936813672
1651, 74.4530542961751
1652, 76.4943869021403
1653, 68.6107508526651
1654, 59.1303422588536
1655, 56.1259445019383
1656, 61.0136871927774
1657, 56.9451223659125
1658, 65.7198167619874
1659, 73.6354296552067
1660, 70.3974445852994
1661, 74.5825191215072
1662, 75.5210000727749
1663, 68.8860444513154
1664, 61.0636262928596
1665, 69.187856547207
1666, 64.0788538301633
1667, 58.6471887576319
1668, 62.3533666555728
1669, 53.13735663641
1670, 56.5320724889667
1671, 57.4027014287416
1672, 62.4344577841649
1673, 62.6688089939782
1674, 64.4512301512178
1675, 66.3958696602979
1676, 65.0258185267122
1677, 60.5316153991107
1678, 57.7647725061226
1679, 55.7242978196841
1680, 57.7551765492922
1681, 58.2462676602121
1682, 59.8361494189724
1683, 60.0535836522046
1684, 62.5321378558753
1685, 63.2431974293402
1686, 59.7982507771519
1687, 56.5908947628819
1688, 57.9326562186046
1689, 59.2664662313461
1690, 59.8684821861156
1691, 61.1099266713069
1692, 63.9376181537822
1693, 68.7936990989148
1694, 66.326293381387
1695, 70.1372927881295
1696, 68.3276906328619
1697, 73.558395201357
1698, 79.48767344526
1699, 82.8322852418318
1700, 66.9863805060393
1701, 64.0790994520304
1702, 59.1892909427513
1703, 57.9951736125596
1704, 59.8017916808814
1705, 54.9795188428365
1706, 58.175712081362
1707, 56.6198789835075
1708, 57.7555241992241
1709, 80.8836615635757
1710, 75.3252692549582
1711, 66.1570164879672
1712, 63.3350916514635
1713, 67.1323829784613
1714, 64.8448826307877
1715, 65.901962928759
1716, 65.1875275746002
1717, 61.2093028746107
1718, 58.6904753011723
1719, 64.2237341212083
1720, 64.9017396262883
1721, 65.4928264395247
1722, 59.1591911755332
1723, 60.6640463345292
1724, 60.0692082463651
1725, 62.3568372948708
1726, 61.8950761703639
1727, 60.2876869156976
1728, 57.4269402983552
1729, 60.6066892593974
1730, 59.3257574676152
1731, 60.2133100904264
1732, 56.8653552276489
1733, 56.8819647199672
1734, 57.9000298576671
1735, 59.7104799259551
1736, 59.5130437195507
1737, 62.1634911924887
1738, 62.3489836939614
1739, 63.130416414662
1740, 70.96795962158
1741, 68.5791492568319
1742, 61.4214228847418
1743, 58.3014309671342
1744, 57.5683102423242
1745, 64.905106446826
1746, 67.2233848158564
1747, 71.1593638175813
1748, 63.3860298893921
1749, 58.8398283001656
1750, 62.1908245350769
1751, 63.7657551659388
1752, 66.8508177007682
1753, 60.359860480031
1754, 55.8110778714123
1755, 62.2651515416268
1756, 68.399665039504
1757, 72.0542219970381
1758, 71.650264559517
1759, 62.6288820758982
1760, 59.802169617585
1761, 63.5349232852281
1762, 73.3316129038377
1763, 66.8298397194277
1764, 64.7670264606538
1765, 60.3319379344507
1766, 65.8463142224976
1767, 71.3441518172819
1768, 65.9761986749036
1769, 67.9449257877679
1770, 69.0633116885711
1771, 80.9991564206777
1772, 80.7125558850891
1773, 75.0123376421916
1774, 69.9240045624792
1775, 68.8215641875606
1776, 69.3559186229073
1777, 72.1147471823669
1778, 67.572648424974
1779, 65.1249533734852
1780, 67.693915464126
1781, 73.5010343650617
1782, 79.5173242358346
1783, 71.9302819093368
1784, 71.6151326493275
1785, 72.0144954107405
1786, 77.0222411955498
1787, 74.104936271842
1788, 75.0374476841608
1789, 74.7327639513805
1790, 72.2967742547127
1791, 70.1218927688963
1792, 71.1904691499981
1793, 75.622040000075
1794, 79.8647809303923
1795, 95.2049579850709
1796, 84.0093379213432
1797, 72.6239253629566
1798, 75.2387320468679
1799, 84.0001672979281
1800, 94.5704491100433
1801, 93.9656651622182
1802, 90.0460551810255
1803, 91.2993541144624
1804, 86.6677988828852
1805, 95.7417050920618
1806, 91.9263216251519
1807, 89.2235598567329
1808, 92.2950751777089
1809, 91.4898233696612
1810, 92.8519409846229
1811, 91.3468723104812
1812, 96.6328866307186
1813, 92.6679991137098
1814, 88.270836995929
1815, 90.6954395394715
1816, 101.007374405668
1817, 107.941408969769
1818, 93.1369055507608
1819, 80.2170342733209
1820, 74.5882676858486
1821, 70.7308423674898
1822, 67.6825921184609
1823, 67.8070827599724
1824, 60.7742615570182
1825, 62.0961697815625
1826, 62.3283644887153
1827, 64.7239159034853
1828, 63.5637414557673
1829, 68.2583034696656
1830, 72.168042513142
1831, 72.9660839793098
1832, 68.723305047572
1833, 64.9065197567368
1834, 63.2068109058539
1835, 63.998337760337
1836, 64.8793701457468
1837, 63.4904346422342
1838, 66.2511191197621
1839, 69.6833503143783
1840, 69.1732968348235
1841, 68.6424236841225
1842, 70.1846468007518
1843, 63.7634154562612
1844, 59.8711555037831
1845, 65.2929865811137
1846, 72.0153826588575
1847, 77.2004667812618
1848, 63.5710283767195
1849, 61.146519020237
1850, 59.4274446596316
1851, 59.3411472501196
1852, 60.9726755654801
1853, 65.7974537352403
1854, 72.1519754384086
1855, 77.2363758292595
1856, 73.0379040289024
1857, 67.5252499948306
1858, 64.1330477892511
1859, 62.6026526123618
1860, 65.4194986264223
1861, 70.1167583976715
1862, 66.5053880164699
1863, 63.2042533594791
1864, 61.9124185123642
1865, 61.7661374345806
1866, 64.9628085351617
1867, 66.4023538659383
1868, 65.6131427588022
1869, 61.6279885367503
1870, 61.2676108935797
1871, 64.2731158360812
1872, 65.073707529176
1873, 65.5895007963211
1874, 64.6390529818652
1875, 61.411769330377
1876, 64.463656461345
1877, 66.1042286989912
1878, 64.4379420511789
1879, 63.0896885043339
1880, 62.6379300908392
1881, 62.0897468547553
1882, 60.5047625042845
1883, 58.7364433426355
1884, 56.4391556864997
1885, 53.8205681568842
1886, 52.9684169015986
1887, 52.7481251253889
1888, 51.3343461566679
1889, 52.4331083397961
1890, 53.4233597155736
1891, 55.7527878881766
1892, 53.9517006032653
1893, 50.6489234905437
1894, 49.5749273328364
1895, 48.8285312395133
1896, 48.1752733971898
1897, 48.9246530977705
1898, 49.3291691734856
1899, 48.5691414608697
1900, 50.3450701810977
1901, 52.2890045256128
1902, 51.7639185466204
1903, 53.330967223496
1904, 53.9936596114889
1905, 54.5023150284095
1906, 55.720975336354
1907, 57.6906461499504
1908, 58.3867383407879
1909, 58.8563889845391
1910, 60.4784579408819
1911, 62.0456830740008
1912, 63.1012524089745
1913, 63.0490407149733
1914, 63.0490407149733
1915, 72.5063968222193
1916, 80.7027721151658
1917, 85.7466953723637
1918, 102.139445958256
1919, 110.966311658353
1920, 122.315138987048
1921, 106.552878808304
1922, 93.9430706653102
1923, 90.7906186295616
1924, 91.4211090367113
1925, 90.7906186295616
1926, 87.0076761866632
1927, 87.0076761866632
1928, 87.6381665938129
1929, 87.0076761866632
1930, 83.8552241509145
1931, 78.8113008937166
1932, 73.136887229369
1933, 72.5063968222193
1934, 72.5063968222193
1935, 69.9844351936204
1936, 66.8319831578717
1937, 70.6149256007701
1938, 71.8759064150696
1939, 72.5063968222193
1940, 83.2247337437648
1941, 95.2040514796097
1942, 102.139445958256
1943, 105.291897994005
1944, 108.444350029754
1945, 118.02781
1946, 136.185927944342
1947, 141.22985120154
1948, 146.273774458738
1949, 155.100640158834
1950, 170.218792427033
1951, 185.538483745466
1952, 185.538483745466
1953, 185.538483745466
1954, 192.347235442548
1955, 196.602705253224
1956, 200.347518686618
1957, 212.773490533792
1958, 217.028960344468
1959, 218.731148268738
1960, 229.795369776495
1961, 231.497557700766
1962, 236.604121473577
1963, 245.115061094928
1964, 258.732564489091
1965, 268.945692034713
1966, 284.265383353146
1967, 294.478510898768
1968, 304.69163844439
1969, 328.522269384175
1970, 340.437584854067
1971, 365.970403718122
1972, 394.22672326101
1973, 425.546981067584
1974, 466.399491250072
1975, 514.060753129642
1976, 560.019827084941
1977, 595.765773494618
1978, 619.596404434403
1979, 646.831411222728
1980, 688.705234159779
1981, 735.537190082644
1982, 778.92561983471
1983, 801.652892561982
1984, 829.201101928373
1985, 848.484848484847
1986, 848.484848484847
1987, 839.53168044077
1988, 843.663911845729
1989, 853.305785123966
1990, 874.655647382919
1991, 901.51515151515
1992, 930.440771349861
1993, 954.545454545453
1994, 980.716253443525
1995, 1000
1996, 1013
1997, 1035.09860383944
1998, 1055.68187484418
1999, 1078.79070057342
2000, 1103.79369234605
2001, 1149.75878833209
